Notice Date,"NAICS
                                  Code",Company,Location,"WIA
                                  Code","Total
                                  Employees","Effective
                                  Date","Type
                                  Code"
5/11/2020,721110,Delta Hunt Valley,"245 Shawan Road                       Hunt Valley, MD 21031",2,57,3/20/2020,2
5/12/2020,713210,"PPE Casino Resorts Maryland, LLC                 d/b/a                                            Live Casino & Hotel","7002 Arundel Mills Circle              Hanover, MD 21076",1,2400,3/16/2020,2
5/12/2020,452210,Nordstrom,"1880 Annapolis Mall                     Annapolis, MD 21401",1,237,6/1/2020,1
5/15/2020,721110,Cambria Suites - Rockville,"1 Helen Heneghan Way                 Rockville, MD 20850",7,25,3/23/2020,2
5/15/2020,512131,"Maryland Cinema Investments, LLC  d/b/a Cin̩polis","629 Center Point Way                        Gaithersburg, MD 20878",7,65,3/23/2020,2
5/15/2020,721110,Crowne Plaza Hotel,"105 W. Fayette Street                Baltimore, MD 21201",3,6,3/21/2020,2
5/15/2020,721120,"Evitts Resort, LLC              d/b/a Rocky Gap Casino","16701 Lakeview Road                   Flintstone, Md 21530",12,461,3/16/2020,2
5/15/2020,722513,HMS Host,"107 Fuel Farm Road                 Baltimore, MD 21240",1,152,3/16/2020,2
5/15/2020,721110,Hyatt Regency Bethesda,"1 Bethesda Metro Center                      Bethesda, MD 20814",7,95,3/18/2020,2
5/15/2020,721110,Marriott Baltimore,"110 S. Eutaw Street                   Baltimore, MD 21201",3,120,3/21/2020,2
5/15/2020,721110,Radisson Hotel - Baltimore Inner Harbor,"110 W. Fayette Street                Baltimore, MD 21201",3,43,3/21/2020,2
5/15/2020,721110,The Westin - Baltimore Washington Airport,"1110 Old Elkridge Landing Rd   Linthicum Heights, MD 21090",1,71,3/27/2020,2
5/15/2020,721110,The Westin - Washington National Harbor,"170 Waterfront Street                National Harbor, MD 20745",8,68,3/28/2020,2
5/15/2020,722511,Uncle Julio's,"4870 Bethesda Avenue                   Bethesda, MD 20814",7,50,3/19/2020,2
5/15/2020,451140,"Guitar Center Stores, Inc.","7114 Geoffrey Way              Suite A                                Frederick, MD 21704",4,105,4/6/2020,2
5/15/2020,721110,Holiday Inn Gaithersburg,"2 Montgomery Village Avenue   Gaithersburg, MD 20879",7,57,3/24/2020,2
5/15/2020,722511,Miller's Ale House,"601 Baltimore Pike                      Bel Air, MD 21014",10,98,3/21/2020,2
5/15/2020,722511,Miller's Ale House,"1471 Rockville Pike                      Rockville, MD 20852",7,74,3/21/2020,2
5/15/2020,453998,Paper Source,"1809 Reisterstown Road                Baltimore, MD 21208",2,14,3/29/2020,2
5/15/2020,453998,Paper Source,"4805 Bethesda Avenue                 Bethesda, MD 20814",7,15,3/29/2020,2
5/15/2020,442299,"Pier 1 Imports, Inc.","500 Old Post Road                          Aberdeen, MD 21001",10,134,6/1/2020,1
5/15/2020,424470,Holly Poultry,"2121 Wicomico Street                       Baltimore, MD 21230",3,36,3/20/2020,2
5/15/2020,424470,Holly Poultry,"2221 Berlin Street                       Baltimore, MD 21230",3,7,3/20/2020,2
