Company,City,AffectedWorkers,NoticeRcvd,NoticeType,LayoffBeginDate,NAICSDescription,County,WDA
Atrium Hospitality,Middleton,125,20200518,WR,03/12/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Foremost Farms USA,Chilton,50,20200518,CL,07/17/2020,Cheese Mfg,Calumet,Fox Valley
"Wigwam Mills, Inc.",Sheboygan,121,20200522,WR,06/01/2020,Other Hosiery & Sock Mills,Sheboygan,Bay Area
Documation LLC,Eau Claire,28,20200526,WR,06/09/2020,Commercial Gravure Printing,Eau Claire,West Central
BRP US,Sturtevant,387,20200527,WR,05/27/2020,Other Engine Equip Mfg,Racine,Southeast,Y
Alkar-Rapid Pak Inc.,Lodi,25,20200528,WR,05/18/2020,Food Product Machinery Mfg,Columbia,South Central
Renaissance Manufacturing Group,Waukesha,120,20200601,CL,07/31/2020,Iron Foundries,Waukesha,Waukesha-Ozaukee-Washington
Union Cab of Madison Cooperative,Madison,126,20200601,WR,03/22/2020,Taxi Service,Dane,South Central
Humane Manufacturing LLC,Janesville,21,20200601,CL,07/31/2020,Resilient Floor Covering Mfg.,Rock,Southwest
"BMR NO. 1, LLC dba Arrow Hyundai",West Allis,57,12/22/2016,CL,03/01/2017,New Car Dealers,Milwaukee,Milwaukee
"Walter USA, LLC.",Waukesha,39,12/12/2016,WR,02/10/2017,Cutting Tool & Machine Tool Accessory Mfg,Waukesha,WOW
The Lutheran Home: River Falls,River Falls,62,12/8/2016,CL,02/09/2016,Nursing Care Facilities (Skilled Nursing),St Croix,West Central
Clearwater Paper,Neenah,91,11/30/2016,WR,12/31/2016,Paper exc Newsprint Mills,Winnebago,Fox Valley
Masonite Corporation,Algoma,180,11/9/2016,CL,01/13/2017,Wood Window & Door Mfg,Kewaunee,Bay Area
Terex Utilities,Waukesha,92,11/9/2016,CL,01/06/2017,Motor Vehicle Body Mfg,Waukesha,WOW
Milwaukee Center for Independence,Milwaukee,1062,11/2/2016,WR,12/31/2016,Other Individual & Family Services,Milwaukee,Milwaukee
Gossen Corporation,Glendale,92,11/1/2016,CL,11/01/2016,Unlaminated Plastics Profile Shape Mfg,Milwaukee,Milwaukee
Cumberland Healthcare,Cumberland,76,10/31/2016,CL,12/31/2016,General Medical & Surgical Hospitals,Barron,West Central
"TreeHouse Private Brands, Inc.",Ripon,51,10/10/2016,CL,11/18/2016,Cookie & Cracker Mfg,Fond du Lac,Fox Valley
Home Security of America (HSA),Cross Plains,121,10/7/2016,CL,12/06/2016,Appliance Repair & Maint,Dane,South Central
Owens Corning,Ladysmith,71,10/3/2016,CL,11/30/2016,Custom Architectural Woodwork & Millwork,Rusk,Northwest
Gannett Publishing Services,Waupaca,52,10/3/2016,CL,12/03/2016,Commercial Gravure Printing,Waupaca,Fox Valley
UTi,Sturtevant,200,9/20/2016,CL,01/15/2017,General Warehousing & Storage,Racine,Southeast
"Brillion Iron Works, Inc.",Brillion,340,9/19/2016,CL,11/11/2016,Iron Foundries,Calumet,Fox Valley
Graebel Moving Services,Wausau,50,9/14/2016,WR,11/14/2016,Managing Offices,Marathon,North Central
Spirit Manufacturing Inc.,New Berlin,60,9/1/2016,CL,11/18/2016,Machine Shops,Waukesha,WOW
Manitowoc Cranes,Manitowoc,528,8/10/2016,CL,10/01/2016,Construction Machinery Mfg,Manitowoc,Bay Area
Manitowoc Cranes - Revision 1,Manitowoc,528,10/14/2016,LS,01/06/2017,Construction Machinery Mfg,Manitowoc,Bay Area
Sentry,Waukesha,37,8/3/2016,CL,10/03/2016,Supermarkets & Other Grocery Stores,Waukesha,WOW
Caterpillar Inc.,Prentice,152,8/2/2016,CL,09/30/2016,All Other Ind Machinery Mfg,Price,Northwest
Southern Wisconsin Foods,Reedsburg,22,7/13/2016,CL,09/01/2016,Limited-service restaurants,Sauk,South Central
"Piggly Wiggly Midwest, LLC.",Sheboygan,83,7/13/2016,CL,09/01/2016,Supermarkets & Other Grocery Stores,Sheboygan,Bay Area
"Cascade Purchase Holdings, Inc. (d/b/a New Hampshire Industries, Inc.)",Horicon,39,7/1/2016,CL,09/28/2016,Hardware Mfg,Dodge,South Central
