Employer,City,Zip,LWIB Area,Notice Date
Davidson Hotels & Resorts,Alanta,30346,7,06/26/2014
Arizona Neurological Institute,Sun City,85351,7,08/01/2014
"US Airways, Inc.",Phoenix,85034,7,04/07/2014
Lockheed Martin Corporation Information Systems,Boulder,80301,7,04/11/2014
Rural Metro,Scottsdale,85258,7,08/27/2014
"Marcolin USA, Inc",Somerville,08876,7,09/30/2014
"SYKES Enterprises, Incorporated",Nogales,85621,8,01/24/2012
"Dole Fresh Vegetables, Inc.",Yuma,85365,9,08/27/2010
"Northrop Grumman Technical Services, Inc.",Yuma Proving Ground,85365,9,03/01/2011
"NewStar Fresh Foods, LLC",Salinas,93901,9,08/15/2014
Northrop Grumman,Herndon,20171,9,05/24/2013
"NewStar Fresh Foods, LLC",Salinas,93901,9,09/06/2013
River Ranch,Salinas,93901,9,09/13/2013
"Hostess Brands, Inc.",Yuma,853648540,9,05/04/2012
"William Dale Young & Sons, Inc., Cocopah Nurseries",Dateland,85222,9,03/11/2013
"ACS, LLC",Yuma,85365,9,02/21/2018
Combat Tactical Training Range,Yuma,85365,9,02/07/2019
"ACS, LLC",Yuma,85365,9,05/04/2016
"ACS, LLC",Yuma,85365,9,05/04/2016
Amentum,Yuma,85364,9,03/13/2020
Holiday Inn Hotels,Yuma,85364,9,03/31/2020
Wild River Family Entertainment Center,Somerton,85350,9,04/07/2020
Cocopah Bend RV Resort and Golf,Yuma,85364,9,04/07/2020
Estrellita Child Care center,San Luis,85336,9,04/07/2020
Taylor farms,Salinas,93902,9,04/07/2020
Alsco,Yuma,85365,9,04/07/2020
"IHG-Army Hotels, candlewood Suites",Yuma Proving grounds,85365,9,04/07/2020
Taylor Farms,Yuma,85666,9,03/27/2020
Cocopah indian Tribe,Somerton,85350,9,04/07/2020
Cocopah Casino and Resort,Somerton,85350,9,04/07/2020
Fruit Growers Supply,Yuma,85365,9,05/29/2020
