Date,Company,Jobs Affected,City,Location
10/17/2019,Sears Hometown Store,Closure,,North Platte,North Platte
10/5/2019,Major's Convenience Store & Cafe,Closure,2,Roca,Roca
10/4/2019,Bimbo Bakeries,Closure,81,South Sioux City,South Sioux City
9/28/2019,Don & Randy Shoemaker's Truck Station,Closure,20,Lincoln,Lincoln
9/27/2019,Greenbrier Railcar (GBW),Layoff,14,Omaha,Omaha
9/27/2019,The Michael's Cantina at the Market,Closure,25,Omaha,Omaha
9/25/2019,Family Video,Closure,4,Columbus,Columbus
9/25/2019,Kentucky Fried Chicken,Closure,17,S. Sioux City,S. Sioux City
9/25/2019,Kentucky Fried Chicken,Closure,,Columbus,Columbus
9/13/2019,Set the Bar Fitness & Nutrition,Closure,,Norfolk,Norfolk
9/5/2019,MMP Enterprises,Layoff,7,Sidney,Sidney
8/31/2019,Eakes Office Solutions Corporation,Layoff,2,Grand Island,Grand Island - Corporate / Retail
8/31/2019,Charming Charlie,Closure,9,Omaha,Omaha - L Street
8/31/2019,Charming Charlie,Closure,4,Omaha,Omaha - Village Pointe
8/31/2019,Charming Charlie,Closure,9,Lincoln,Lincoln
8/23/2019,Jan's Cleaners & Shirt Laundry,Closure,2,Beatrice,Beatrice
8/20/2019,Tommy's Family Restaurant,Layoff,1,Grand Island,Grand Island
8/20/2019,Union Pacific Railroad,Layoff,55,North Platte,North Platte
8/16/2019,Teriyaki Madness,Closure,,Lincoln,Lincoln
8/14/2019,Peking Palace Chinese Buffett,Closure,,Grand Island,Grand Island
8/12/2019,Standard Iron,Layoff,31,Grand Island,Grand Island
8/11/2019,Young Voices Child Development Center,Closure,,Lincoln,Lincoln
8/10/2019,Barnstormers Family Bar & Grill,Closure,20,Norfolk,Norfolk
8/9/2019,Risky's Sports Bar and Grill,Closure,,Beatrice,Beatrice
8/8/2019,US Aprons,Layoff,10,Sidney,Sidney
8/6/2019,Premier Estates,Closure,35,West Point,West Point
8/6/2019,Premier Estates,Closure,43,Fremont,Fremont
8/6/2019,Premier Estates,Closure,64,Crete,Crete
8/4/2019,Earl May Nursery & Garden Center,Closure,3,Beatrice,Beatrice
8/2/2019,Eakes Office Solutions x,Closure,3,York,York
8/2/2019,Eakes Office Solutions Corporation,Closure,3,York,York
7/31/2019,Anderson Auto Parts,Layoff,4,Grand Island,Grand Island
7/31/2019,El Canelo Mexican Restaurant,Closure,,Beatrice,Beatrice
7/31/2019,Norfolk Natural Market,Closure,5,Norfolk,Norfolk
